icd_code,icd_version,long_title,cancer_type
C8374,10,"Burkitt lymphoma, lymph nodes of axilla and upper limb",Non-Hodgkin lymphoma
C9231,10,"Myeloid sarcoma, in remission",Leukemia
C9261,10,Acute myeloid leukemia with 11q23-abnormality in remission,Leukemia
C9330,10,"Juvenile myelomonocytic leukemia, not having achieved remission",Monocytic leukemia
C960,10,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C062,10,Malignant neoplasm of retromolar area,Malignant neoplasm of other parts of mouth
C07,10,Malignant neoplasm of parotid gland,Malignant neoplasm of parotid gland
C102,10,Malignant neoplasm of lateral wall of oropharynx,Malignant neoplasm of oropharynx
C188,10,Malignant neoplasm of overlapping sites of colon,Gastrointestinal Cancer
C44702,10,"Unspecified malignant neoplasm of skin of right lower limb, including hip",Other malignant neoplasms of skin
C4920,10,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",Malignant neoplasm of other connective tissues
C49A9,10,Gastrointestinal stromal tumor of other sites,Malignant neoplasm of other connective tissues
C4A12,10,"Merkel cell carcinoma of left eyelid, including canthus",Merkel cell carcinoma
C50119,10,Malignant neoplasm of central portion of unspecified female breast,Breast Cancer
C530,10,Malignant neoplasm of endocervix,Malignant neoplasm of cervix uteri
C602,10,Malignant neoplasm of body of penis,Malignant neoplasm of penis
C6951,10,Malignant neoplasm of right lacrimal gland and duct,Malignant neoplasm of eye and adnexa
C765,10,Malignant neoplasm of lower limb,Malignant neoplasm of other and ill-defined sites
C7839,10,Secondary malignant neoplasm of other respiratory organs,Secondary malignant neoplasm of respiratory and digestive organs
C787,10,Secondary malignant neoplasm of liver and intrahepatic bile duct,Secondary malignant neoplasm of respiratory and digestive organs
C7A00,10,Malignant carcinoid tumor of unspecified site,Malignant neuroendocrine tumors
C7B1,10,Secondary Merkel cell carcinoma,Secondary neuroendocrine tumors
C8171,10,"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",Hodgkin lymphoma
C8195,10,"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",Hodgkin lymphoma
C8204,10,"Follicular lymphoma grade I, lymph nodes of axilla and upper limb",Non-Hodgkin Lymphoma
C8237,10,"Follicular lymphoma grade IIIa, spleen",Non-Hodgkin Lymphoma
C8303,10,"Small cell B-cell lymphoma, intra-abdominal lymph nodes",Non-Hodgkin lymphoma
C8331,10,"Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck",Non-Hodgkin lymphoma
C8376,10,"Burkitt lymphoma, intrapelvic lymph nodes",Non-Hodgkin lymphoma
C8387,10,"Other non-follicular lymphoma, spleen",Non-Hodgkin lymphoma
C8395,10,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb",Non-Hodgkin lymphoma
C9002,10,Multiple myeloma in relapse,Multiple myeloma and malignant plasma cell neoplasms
C179,10,"Malignant neoplasm of small intestine, unspecified",Malignant neoplasm of small intestine
C22,10,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of liver and intrahepatic bile ducts
C224,10,Other sarcomas of liver,Malignant neoplasm of liver and intrahepatic bile ducts
C3412,10,"Malignant neoplasm of upper lobe, left bronchus or lung",Malignant neoplasm of bronchus and lung
C4413,10,"Sebaceous cell carcinoma of skin of eyelid, including canthus",Other malignant neoplasms of skin
C44192,10,"Other specified malignant neoplasm of skin of right eyelid, including canthus",Other malignant neoplasms of skin
C44621,10,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",Other malignant neoplasms of skin
C4491,10,"Basal cell carcinoma of skin, unspecified",Other malignant neoplasms of skin
C50812,10,Malignant neoplasm of overlapping sites of left female breast,Breast Cancer
C5712,10,Malignant neoplasm of left broad ligament,Malignant neoplasm of other female genital organs
C6311,10,Malignant neoplasm of right spermatic cord,Malignant neoplasm of other male genital organs
C64,10,"Malignant neoplasm of kidney, except renal pelvis",Urinary Tract Cancer
C679,10,"Malignant neoplasm of bladder, unspecified",Malignant neoplasm of bladder
C68,10,Malignant neoplasm of other and unspecified urinary organs,Malignant neoplasm of other urinary organs
C690,10,Malignant neoplasm of conjunctiva,Malignant neoplasm of eye and adnexa
C709,10,"Malignant neoplasm of meninges, unspecified",Malignant neoplasm of meninges
C7259,10,Malignant neoplasm of other cranial nerves,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C778,10,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,Secondary and unspecified malignant neoplasm of lymph nodes
C8118,10,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",Hodgkin lymphoma
C8140,10,"Lymphocyte-rich Hodgkin lymphoma, unspecified site",Hodgkin lymphoma
C82,10,Follicular lymphoma,Non-Hodgkin Lymphoma
C8214,10,"Follicular lymphoma grade II, lymph nodes of axilla and upper limb",Non-Hodgkin Lymphoma
C8403,10,"Mycosis fungoides, intra-abdominal lymph nodes",Mature T/NK-cell lymphomas
C8511,10,"Unspecified B-cell lymphoma, lymph nodes of head, face, and neck",Other specified and unspecified types of non-Hodgkin lymphoma
C924,10,Acute promyelocytic leukemia,Leukemia
C9250,10,"Acute myelomonocytic leukemia, not having achieved remission",Leukemia
C930,10,Acute monoblastic/monocytic leukemia,Monocytic leukemia
C9300,10,"Acute monoblastic/monocytic leukemia, not having achieved remission",Monocytic leukemia
C9442,10,"Acute panmyelosis with myelofibrosis, in relapse",Other leukemias of specified cell types
C9502,10,"Acute leukemia of unspecified cell type, in relapse",Leukemia of unspecified cell type
C951,10,Chronic leukemia of unspecified cell type,Leukemia of unspecified cell type
C059,10,"Malignant neoplasm of palate, unspecified",Malignant neoplasm of palate
C099,10,"Malignant neoplasm of tonsil, unspecified",Malignant neoplasm of tonsil
C101,10,Malignant neoplasm of anterior surface of epiglottis,Malignant neoplasm of oropharynx
C261,10,Malignant neoplasm of spleen,Malignant neoplasm of other digestive organs
C301,10,Malignant neoplasm of middle ear,Respiratory Cancer
C43,10,Malignant melanoma of skin,Malignant melanoma of skin
C432,10,Malignant melanoma of ear and external auricular canal,Malignant melanoma of skin
C4371,10,"Malignant melanoma of right lower limb, including hip",Malignant melanoma of skin
C441222,10,"Squamous cell carcinoma of skin of right lower eyelid, including canthus",Other malignant neoplasms of skin
C4482,10,Squamous cell carcinoma of overlapping sites of skin,Other malignant neoplasms of skin
C49A3,10,Gastrointestinal stromal tumor of small intestine,Malignant neoplasm of other connective tissues
C5001,10,"Malignant neoplasm of nipple and areola, female",Breast Cancer
C5032,10,"Malignant neoplasm of lower-inner quadrant of breast, male",Breast Cancer
C542,10,Malignant neoplasm of myometrium,Malignant neoplasm of corpus uteri
C6991,10,Malignant neoplasm of unspecified site of right eye,Malignant neoplasm of eye and adnexa
C70,10,Malignant neoplasm of meninges,Malignant neoplasm of meninges
C7220,10,Malignant neoplasm of unspecified olfactory nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C7940,10,Secondary malignant neoplasm of unspecified part of nervous system,Secondary malignant neoplasm of other sites
C796,10,Secondary malignant neoplasm of ovary,Secondary malignant neoplasm of other sites
C7989,10,Secondary malignant neoplasm of other specified sites,Secondary malignant neoplasm of other sites
C7A095,10,"Malignant carcinoid tumor of the midgut, unspecified",Malignant neuroendocrine tumors
C8116,10,"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",Hodgkin lymphoma
C8134,10,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",Hodgkin lymphoma
C820,10,Follicular lymphoma grade I,Non-Hodgkin Lymphoma
C8200,10,"Follicular lymphoma grade I, unspecified site",Non-Hodgkin Lymphoma
C8207,10,"Follicular lymphoma grade I, spleen",Non-Hodgkin Lymphoma
C8242,10,"Follicular lymphoma grade IIIb, intrathoracic lymph nodes",Non-Hodgkin Lymphoma
C8256,10,"Diffuse follicle center lymphoma, intrapelvic lymph nodes",Non-Hodgkin Lymphoma
C8411,10,"Sezary disease, lymph nodes of head, face, and neck",Mature T/NK-cell lymphomas
C8468,10,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites",Mature T/NK-cell lymphomas
C8512,10,"Unspecified B-cell lymphoma, intrathoracic lymph nodes",Other specified and unspecified types of non-Hodgkin lymphoma
C8526,10,"Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes",Other specified and unspecified types of non-Hodgkin lymphoma
C9210,10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",Leukemia
C93Z,10,Other monocytic leukemia,Monocytic leukemia
C023,10,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Head and Neck Cancer
C310,10,Malignant neoplasm of maxillary sinus,Malignant neoplasm of accessory sinuses
C413,10,"Malignant neoplasm of ribs, sternum and clavicle",Malignant neoplasm of bone and articular cartilage of other sites
C4361,10,"Malignant melanoma of right upper limb, including shoulder",Malignant melanoma of skin
C4402,10,Squamous cell carcinoma of skin of lip,Other malignant neoplasms of skin
C44221,10,Squamous cell carcinoma of skin of unspecified ear and external auricular canal,Other malignant neoplasms of skin
C488,10,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,Malignant neoplasm of retroperitoneum and peritoneum
C4921,10,"Malignant neoplasm of connective and soft tissue of right lower limb, including hip",Malignant neoplasm of other connective tissues
C50411,10,Malignant neoplasm of upper-outer quadrant of right female breast,Breast Cancer
C608,10,Malignant neoplasm of overlapping sites of penis,Malignant neoplasm of penis
C6302,10,Malignant neoplasm of left epididymis,Malignant neoplasm of other male genital organs
C693,10,Malignant neoplasm of choroid,Malignant neoplasm of eye and adnexa
C6961,10,Malignant neoplasm of right orbit,Malignant neoplasm of eye and adnexa
C7402,10,Malignant neoplasm of cortex of left adrenal gland,Malignant neoplasm of adrenal gland
C760,10,"Malignant neoplasm of head, face and neck",Malignant neoplasm of other and ill-defined sites
C792,10,Secondary malignant neoplasm of skin,Secondary malignant neoplasm of other sites
C8110,10,"Nodular sclerosis Hodgkin lymphoma, unspecified site",Hodgkin lymphoma
C8174,10,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",Hodgkin lymphoma
C8203,10,"Follicular lymphoma grade I, intra-abdominal lymph nodes",Non-Hodgkin Lymphoma
C8335,10,"Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb",Non-Hodgkin lymphoma
C8336,10,"Diffuse large B-cell lymphoma, intrapelvic lymph nodes",Non-Hodgkin lymphoma
C8379,10,"Burkitt lymphoma, extranodal and solid organ sites",Non-Hodgkin lymphoma
C8442,10,"Peripheral T-cell lymphoma, not classified, intrathoracic lymph nodes",Mature T/NK-cell lymphomas
C8470,10,"Anaplastic large cell lymphoma, ALK-negative, unspecified site",Mature T/NK-cell lymphomas
C8518,10,"Unspecified B-cell lymphoma, lymph nodes of multiple sites",Other specified and unspecified types of non-Hodgkin lymphoma
C882,10,Heavy chain disease,Malignant immunoproliferative diseases
C90,10,Multiple myeloma and malignant plasma cell neoplasms,Multiple myeloma and malignant plasma cell neoplasms
C9142,10,"Hairy cell leukemia, in relapse",Leukemia
C9220,10,"Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",Leukemia
C090,10,Malignant neoplasm of tonsillar fossa,Malignant neoplasm of tonsil
C132,10,Malignant neoplasm of posterior wall of hypopharynx,Malignant neoplasm of hypopharynx
C240,10,Malignant neoplasm of extrahepatic bile duct,Malignant neoplasm of other and unspecified parts of biliary tract
C260,10,"Malignant neoplasm of intestinal tract, part unspecified",Malignant neoplasm of other digestive organs
C37,10,Malignant neoplasm of thymus,Malignant neoplasm of thymus
C4012,10,Malignant neoplasm of short bones of left upper limb,Malignant neoplasm of bone and articular cartilage of limbs
C41,10,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Malignant neoplasm of bone and articular cartilage of other sites
C4409,10,Other specified malignant neoplasm of skin of lip,Other malignant neoplasms of skin
C441091,10,"Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",Other malignant neoplasms of skin
C44111,10,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",Other malignant neoplasms of skin
C4419,10,"Other specified malignant neoplasm of skin of eyelid, including canthus",Other malignant neoplasms of skin
C44299,10,Other specified malignant neoplasm of skin of left ear and external auricular canal,Other malignant neoplasms of skin
C44399,10,Other specified malignant neoplasm of skin of other parts of face,Other malignant neoplasms of skin
C44520,10,Squamous cell carcinoma of anal skin,Other malignant neoplasms of skin
C4651,10,Kaposi's sarcoma of right lung,Kaposi's sarcoma
C4A20,10,Merkel cell carcinoma of unspecified ear and external auricular canal,Merkel cell carcinoma
C50321,10,Malignant neoplasm of lower-inner quadrant of right male breast,Breast Cancer
C50422,10,Malignant neoplasm of upper-outer quadrant of left male breast,Breast Cancer
C50429,10,Malignant neoplasm of upper-outer quadrant of unspecified male breast,Breast Cancer
C543,10,Malignant neoplasm of fundus uteri,Malignant neoplasm of corpus uteri
C574,10,"Malignant neoplasm of uterine adnexa, unspecified",Malignant neoplasm of other female genital organs
C716,10,Malignant neoplasm of cerebellum,Malignant neoplasm of brain
C729,10,"Malignant neoplasm of central nervous system, unspecified","Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C795,10,Secondary malignant neoplasm of bone and bone marrow,Secondary malignant neoplasm of other sites
C8111,10,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",Hodgkin lymphoma
C8372,10,"Burkitt lymphoma, intrathoracic lymph nodes",Non-Hodgkin lymphoma
C8396,10,"Non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes",Non-Hodgkin lymphoma
C84Z6,10,"Other mature T/NK-cell lymphomas, intrapelvic lymph nodes",Mature T/NK-cell lymphomas
C8524,10,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb",Other specified and unspecified types of non-Hodgkin lymphoma
C913,10,Prolymphocytic leukemia of B-cell type,Leukemia
C9221,10,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission",Leukemia
C943,10,Mast cell leukemia,Other leukemias of specified cell types
C9431,10,"Mast cell leukemia, in remission",Other leukemias of specified cell types
C948,10,Other specified leukemias,Other leukemias of specified cell types
C964,10,Sarcoma of dendritic cells (accessory cells),"Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C000,10,Malignant neoplasm of external upper lip,Head and Neck Cancer
C031,10,Malignant neoplasm of lower gum,Malignant neoplasm of gum
C20,10,Malignant neoplasm of rectum,Malignant neoplasm of rectum
C222,10,Hepatoblastoma,Malignant neoplasm of liver and intrahepatic bile ducts
C419,10,"Malignant neoplasm of bone and articular cartilage, unspecified",Malignant neoplasm of bone and articular cartilage of other sites
C4360,10,"Malignant melanoma of unspecified upper limb, including shoulder",Malignant melanoma of skin
C443,10,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,Other malignant neoplasms of skin
C4442,10,Squamous cell carcinoma of skin of scalp and neck,Other malignant neoplasms of skin
C4459,10,Other specified malignant neoplasm of skin of trunk,Other malignant neoplasms of skin
C4490,10,"Unspecified malignant neoplasm of skin, unspecified",Other malignant neoplasms of skin
C450,10,Mesothelioma of pleura,Mesothelioma
C4A4,10,Merkel cell carcinoma of scalp and neck,Merkel cell carcinoma
C5051,10,"Malignant neoplasm of lower-outer quadrant of breast, female",Breast Cancer
C722,10,Malignant neoplasm of olfactory nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C762,10,Malignant neoplasm of abdomen,Malignant neoplasm of other and ill-defined sites
C802,10,Malignant neoplasm associated with transplanted organ,Malignant neoplasm without specification of site
C8141,10,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",Hodgkin lymphoma
C8175,10,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Hodgkin lymphoma
C8259,10,"Diffuse follicle center lymphoma, extranodal and solid organ sites",Non-Hodgkin Lymphoma
C8400,10,"Mycosis fungoides, unspecified site",Mature T/NK-cell lymphomas
C84A4,10,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb",Mature T/NK-cell lymphomas
C8510,10,"Unspecified B-cell lymphoma, unspecified site",Other specified and unspecified types of non-Hodgkin lymphoma
C8522,10,"Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes",Other specified and unspecified types of non-Hodgkin lymphoma
C900,10,Multiple myeloma,Multiple myeloma and malignant plasma cell neoplasms
C9141,10,"Hairy cell leukemia, in remission",Leukemia
C92,10,Myeloid leukemia,Leukemia
C9212,10,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse",Leukemia
C9251,10,"Acute myelomonocytic leukemia, in remission",Leukemia
C9252,10,"Acute myelomonocytic leukemia, in relapse",Leukemia
C9292,10,"Myeloid leukemia, unspecified in relapse",Leukemia
C9510,10,Chronic leukemia of unspecified cell type not having achieved remission,Leukemia of unspecified cell type
C024,10,Malignant neoplasm of lingual tonsil,Head and Neck Cancer
C212,10,Malignant neoplasm of cloacogenic zone,Malignant neoplasm of anus and anal canal
C44101,10,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",Other malignant neoplasms of skin
C4451,10,Basal cell carcinoma of skin of trunk,Other malignant neoplasms of skin
C44691,10,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",Other malignant neoplasms of skin
C44729,10,"Squamous cell carcinoma of skin of left lower limb, including hip",Other malignant neoplasms of skin
C49A0,10,"Gastrointestinal stromal tumor, unspecified site",Malignant neoplasm of other connective tissues
C4A2,10,Merkel cell carcinoma of ear and external auricular canal,Merkel cell carcinoma
C4A30,10,Merkel cell carcinoma of unspecified part of face,Merkel cell carcinoma
C50311,10,Malignant neoplasm of lower-inner quadrant of right female breast,Breast Cancer
C50522,10,Malignant neoplasm of lower-outer quadrant of left male breast,Breast Cancer
C662,10,Malignant neoplasm of left ureter,Malignant neoplasm of ureter
C6920,10,Malignant neoplasm of unspecified retina,Malignant neoplasm of eye and adnexa
C695,10,Malignant neoplasm of lacrimal gland and duct,Malignant neoplasm of eye and adnexa
C6952,10,Malignant neoplasm of left lacrimal gland and duct,Malignant neoplasm of eye and adnexa
C6981,10,Malignant neoplasm of overlapping sites of right eye and adnexa,Malignant neoplasm of eye and adnexa
C7A01,10,Malignant carcinoid tumors of the small intestine,Malignant neuroendocrine tumors
C80,10,Malignant neoplasm without specification of site,Malignant neoplasm without specification of site
C8119,10,"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites",Hodgkin lymphoma
C812,10,Mixed cellularity Hodgkin lymphoma,Hodgkin lymphoma
C8144,10,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",Hodgkin lymphoma
C819,10,"Hodgkin lymphoma, unspecified",Hodgkin lymphoma
C8283,10,"Other types of follicular lymphoma, intra-abdominal lymph nodes",Non-Hodgkin Lymphoma
C8309,10,"Small cell B-cell lymphoma, extranodal and solid organ sites",Non-Hodgkin lymphoma
C8310,10,"Mantle cell lymphoma, unspecified site",Non-Hodgkin lymphoma
C8370,10,"Burkitt lymphoma, unspecified site",Non-Hodgkin lymphoma
C8386,10,"Other non-follicular lymphoma, intrapelvic lymph nodes",Non-Hodgkin lymphoma
C8498,10,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites",Mature T/NK-cell lymphomas
C8591,10,"Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",Other specified and unspecified types of non-Hodgkin lymphoma
C92Z2,10,"Other myeloid leukemia, in relapse",Leukemia
C959,10,"Leukemia, unspecified",Leukemia of unspecified cell type
C028,10,Malignant neoplasm of overlapping sites of tongue,Head and Neck Cancer
C03,10,Malignant neoplasm of gum,Malignant neoplasm of gum
C178,10,Malignant neoplasm of overlapping sites of small intestine,Malignant neoplasm of small intestine
C300,10,Malignant neoplasm of nasal cavity,Respiratory Cancer
C3480,10,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,Malignant neoplasm of bronchus and lung
C4080,10,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,Malignant neoplasm of bone and articular cartilage of limbs
C4312,10,"Malignant melanoma of left eyelid, including canthus",Malignant melanoma of skin
C4362,10,"Malignant melanoma of left upper limb, including shoulder",Malignant melanoma of skin
C44109,10,"Unspecified malignant neoplasm of skin of left eyelid, including canthus",Other malignant neoplasms of skin
C441221,10,"Squamous cell carcinoma of skin of right upper eyelid, including canthus",Other malignant neoplasms of skin
C44131,10,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",Other malignant neoplasms of skin
C44229,10,Squamous cell carcinoma of skin of left ear and external auricular canal,Other malignant neoplasms of skin
C44391,10,Other specified malignant neoplasm of skin of nose,Other malignant neoplasms of skin
C461,10,Kaposi's sarcoma of soft tissue,Kaposi's sarcoma
C462,10,Kaposi's sarcoma of palate,Kaposi's sarcoma
C476,10,"Malignant neoplasm of peripheral nerves of trunk, unspecified",Malignant neoplasm of peripheral nerves
C49,10,Malignant neoplasm of other connective and soft tissue,Malignant neoplasm of other connective tissues
C50419,10,Malignant neoplasm of upper-outer quadrant of unspecified female breast,Breast Cancer
C540,10,Malignant neoplasm of isthmus uteri,Malignant neoplasm of corpus uteri
C7230,10,Malignant neoplasm of unspecified optic nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C741,10,Malignant neoplasm of medulla of adrenal gland,Malignant neoplasm of adrenal gland
C7B00,10,"Secondary carcinoid tumors, unspecified site",Secondary neuroendocrine tumors
C8178,10,"Other Hodgkin lymphoma, lymph nodes of multiple sites",Hodgkin lymphoma
C822,10,"Follicular lymphoma grade III, unspecified",Non-Hodgkin Lymphoma
C8222,10,"Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes",Non-Hodgkin Lymphoma
C8248,10,"Follicular lymphoma grade IIIb, lymph nodes of multiple sites",Non-Hodgkin Lymphoma
C8385,10,"Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb",Non-Hodgkin lymphoma
C8520,10,"Mediastinal (thymic) large B-cell lymphoma, unspecified site",Other specified and unspecified types of non-Hodgkin lymphoma
C8588,10,"Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites",Other specified and unspecified types of non-Hodgkin lymphoma
C9480,10,Other specified leukemias not having achieved remission,Other leukemias of specified cell types
C080,10,Malignant neoplasm of submandibular gland,Malignant neoplasm of other salivary glands
C340,10,Malignant neoplasm of main bronchus,Malignant neoplasm of bronchus and lung
C388,10,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura","Malignant neoplasm of heart, mediastinum, and pleura"
C4002,10,Malignant neoplasm of scapula and long bones of left upper limb,Malignant neoplasm of bone and articular cartilage of limbs
C441321,10,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",Other malignant neoplasms of skin
C444,10,Other and unspecified malignant neoplasm of skin of scalp and neck,Other malignant neoplasms of skin
C44712,10,"Basal cell carcinoma of skin of right lower limb, including hip",Other malignant neoplasms of skin
C4479,10,"Other specified malignant neoplasm of skin of lower limb, including hip",Other malignant neoplasms of skin
C4A112,10,"Merkel cell carcinoma of right lower eyelid, including canthus",Merkel cell carcinoma
C4A62,10,"Merkel cell carcinoma of left upper limb, including shoulder",Merkel cell carcinoma
C6922,10,Malignant neoplasm of left retina,Malignant neoplasm of eye and adnexa
C720,10,Malignant neoplasm of spinal cord,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C7232,10,Malignant neoplasm of left optic nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C7901,10,Secondary malignant neoplasm of right kidney and renal pelvis,Secondary malignant neoplasm of other sites
C7A029,10,"Malignant carcinoid tumor of the large intestine, unspecified portion",Malignant neuroendocrine tumors
C810,10,Nodular lymphocyte predominant Hodgkin lymphoma,Hodgkin lymphoma
C8352,10,"Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes",Non-Hodgkin lymphoma
C8397,10,"Non-follicular (diffuse) lymphoma, unspecified, spleen",Non-Hodgkin lymphoma
C8521,10,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck",Other specified and unspecified types of non-Hodgkin lymphoma
C859,10,"Non-Hodgkin lymphoma, unspecified",Other specified and unspecified types of non-Hodgkin lymphoma
C916,10,Prolymphocytic leukemia of T-cell type,Leukemia
C9432,10,"Mast cell leukemia, in relapse",Other leukemias of specified cell types
C9590,10,"Leukemia, unspecified not having achieved remission",Leukemia of unspecified cell type
C9591,10,"Leukemia, unspecified, in remission",Leukemia of unspecified cell type
C039,10,"Malignant neoplasm of gum, unspecified",Malignant neoplasm of gum
C139,10,"Malignant neoplasm of hypopharynx, unspecified",Malignant neoplasm of hypopharynx
C21,10,Malignant neoplasm of anus and anal canal,Malignant neoplasm of anus and anal canal
C220,10,Liver cell carcinoma,Malignant neoplasm of liver and intrahepatic bile ducts
C31,10,Malignant neoplasm of accessory sinuses,Malignant neoplasm of accessory sinuses
C3410,10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",Malignant neoplasm of bronchus and lung
C4020,10,Malignant neoplasm of long bones of unspecified lower limb,Malignant neoplasm of bone and articular cartilage of limbs
C4022,10,Malignant neoplasm of long bones of left lower limb,Malignant neoplasm of bone and articular cartilage of limbs
C434,10,Malignant melanoma of scalp and neck,Malignant melanoma of skin
C4461,10,"Basal cell carcinoma of skin of upper limb, including shoulder",Other malignant neoplasms of skin
C4462,10,"Squamous cell carcinoma of skin of upper limb, including shoulder",Other malignant neoplasms of skin
C44721,10,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",Other malignant neoplasms of skin
C44799,10,"Other specified malignant neoplasm of skin of left lower limb, including hip",Other malignant neoplasms of skin
C4492,10,"Squamous cell carcinoma of skin, unspecified",Other malignant neoplasms of skin
C4A61,10,"Merkel cell carcinoma of right upper limb, including shoulder",Merkel cell carcinoma
C50021,10,"Malignant neoplasm of nipple and areola, right male breast",Breast Cancer
C50921,10,Malignant neoplasm of unspecified site of right male breast,Breast Cancer
C5701,10,Malignant neoplasm of right fallopian tube,Malignant neoplasm of other female genital organs
C5702,10,Malignant neoplasm of left fallopian tube,Malignant neoplasm of other female genital organs
C609,10,"Malignant neoplasm of penis, unspecified",Malignant neoplasm of penis
C6960,10,Malignant neoplasm of unspecified orbit,Malignant neoplasm of eye and adnexa
C717,10,Malignant neoplasm of brain stem,Malignant neoplasm of brain
C719,10,"Malignant neoplasm of brain, unspecified",Malignant neoplasm of brain
C755,10,Malignant neoplasm of aortic body and other paraganglia,Malignant neoplasm of other endocrine glands
C7650,10,Malignant neoplasm of unspecified lower limb,Malignant neoplasm of other and ill-defined sites
C7A,10,Malignant neuroendocrine tumors,Malignant neuroendocrine tumors
C800,10,"Disseminated malignant neoplasm, unspecified",Malignant neoplasm without specification of site
C811,10,Nodular sclerosis Hodgkin lymphoma,Hodgkin lymphoma
C8138,10,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",Hodgkin lymphoma
C8170,10,"Other Hodgkin lymphoma, unspecified site",Hodgkin lymphoma
C8205,10,"Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb",Non-Hodgkin Lymphoma
C8217,10,"Follicular lymphoma grade II, spleen",Non-Hodgkin Lymphoma
C825,10,Diffuse follicle center lymphoma,Non-Hodgkin Lymphoma
C8252,10,"Diffuse follicle center lymphoma, intrathoracic lymph nodes",Non-Hodgkin Lymphoma
C8317,10,"Mantle cell lymphoma, spleen",Non-Hodgkin lymphoma
C8318,10,"Mantle cell lymphoma, lymph nodes of multiple sites",Non-Hodgkin lymphoma
C8358,10,"Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites",Non-Hodgkin lymphoma
C838,10,Other non-follicular lymphoma,Non-Hodgkin lymphoma
C8402,10,"Mycosis fungoides, intrathoracic lymph nodes",Mature T/NK-cell lymphomas
