icd_code,icd_version,long_title,cancer_type
C8312,10,"Mantle cell lymphoma, intrathoracic lymph nodes",Non-Hodgkin lymphoma
C8406,10,"Mycosis fungoides, intrapelvic lymph nodes",Mature T/NK-cell lymphomas
C84Z,10,Other mature T/NK-cell lymphomas,Mature T/NK-cell lymphomas
C9242,10,"Acute promyelocytic leukemia, in relapse",Leukemia
C9592,10,"Leukemia, unspecified, in relapse",Leukemia of unspecified cell type
C008,10,Malignant neoplasm of overlapping sites of lip,Head and Neck Cancer
C158,10,Malignant neoplasm of overlapping sites of esophagus,Gastrointestinal Cancer
C169,10,"Malignant neoplasm of stomach, unspecified",Gastrointestinal Cancer
C257,10,Malignant neoplasm of other parts of pancreas,Malignant neoplasm of pancreas
C3492,10,Malignant neoplasm of unspecified part of left bronchus or lung,Malignant neoplasm of bronchus and lung
C4320,10,Malignant melanoma of unspecified ear and external auricular canal,Malignant melanoma of skin
C4411,10,"Basal cell carcinoma of skin of eyelid, including canthus",Other malignant neoplasms of skin
C441192,10,"Basal cell carcinoma of skin of left lower eyelid, including canthus",Other malignant neoplasms of skin
C44310,10,Basal cell carcinoma of skin of unspecified parts of face,Other malignant neoplasms of skin
C44599,10,Other specified malignant neoplasm of skin of other part of trunk,Other malignant neoplasms of skin
C498,10,Malignant neoplasm of overlapping sites of connective and soft tissue,Malignant neoplasm of other connective tissues
C50012,10,"Malignant neoplasm of nipple and areola, left female breast",Breast Cancer
C6212,10,Malignant neoplasm of descended left testis,Malignant neoplasm of testis
C7931,10,Secondary malignant neoplasm of brain,Secondary malignant neoplasm of other sites
C7960,10,Secondary malignant neoplasm of unspecified ovary,Secondary malignant neoplasm of other sites
C7A023,10,Malignant carcinoid tumor of the transverse colon,Malignant neuroendocrine tumors
C7B,10,Secondary neuroendocrine tumors,Secondary neuroendocrine tumors
C8129,10,"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",Hodgkin lymphoma
C8232,10,"Follicular lymphoma grade IIIa, intrathoracic lymph nodes",Non-Hodgkin Lymphoma
C8267,10,"Cutaneous follicle center lymphoma, spleen",Non-Hodgkin Lymphoma
C8269,10,"Cutaneous follicle center lymphoma, extranodal and solid organ sites",Non-Hodgkin Lymphoma
C8287,10,"Other types of follicular lymphoma, spleen",Non-Hodgkin Lymphoma
C8300,10,"Small cell B-cell lymphoma, unspecified site",Non-Hodgkin lymphoma
C8333,10,"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes",Non-Hodgkin lymphoma
C8389,10,"Other non-follicular lymphoma, extranodal and solid organ sites",Non-Hodgkin lymphoma
C8469,10,"Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites",Mature T/NK-cell lymphomas
C911,10,Chronic lymphocytic leukemia of B-cell type,Leukemia
C048,10,Malignant neoplasm of overlapping sites of floor of mouth,Malignant neoplasm of floor of mouth
C10,10,Malignant neoplasm of oropharynx,Malignant neoplasm of oropharynx
C104,10,Malignant neoplasm of branchial cleft,Malignant neoplasm of oropharynx
C140,10,"Malignant neoplasm of pharynx, unspecified",Malignant neoplasm of other ill-defined sites
C399,10,"Malignant neoplasm of lower respiratory tract, part unspecified",Malignant neoplasm of other respiratory organs
C401,10,Malignant neoplasm of short bones of upper limb,Malignant neoplasm of bone and articular cartilage of limbs
C4030,10,Malignant neoplasm of short bones of unspecified lower limb,Malignant neoplasm of bone and articular cartilage of limbs
C43121,10,"Malignant melanoma of left upper eyelid, including canthus",Malignant melanoma of skin
C44521,10,Squamous cell carcinoma of skin of breast,Other malignant neoplasms of skin
C4480,10,Unspecified malignant neoplasm of overlapping sites of skin,Other malignant neoplasms of skin
C460,10,Kaposi's sarcoma of skin,Kaposi's sarcoma
C689,10,"Malignant neoplasm of urinary organ, unspecified",Malignant neoplasm of other urinary organs
C692,10,Malignant neoplasm of retina,Malignant neoplasm of eye and adnexa
C698,10,Malignant neoplasm of overlapping sites of eye and adnexa,Malignant neoplasm of eye and adnexa
C7490,10,Malignant neoplasm of unspecified part of unspecified adrenal gland,Malignant neoplasm of adrenal gland
C771,10,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,Secondary and unspecified malignant neoplasm of lymph nodes
C8100,10,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",Hodgkin lymphoma
C8354,10,"Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb",Non-Hodgkin lymphoma
C8383,10,"Other non-follicular lymphoma, intra-abdominal lymph nodes",Non-Hodgkin lymphoma
